match_id,date,kickoff_hour_utc,stadium_name,city,country,elevation_meters,timezone,temp_celsius,humidity_pct,feels_like_celsius,precipitation_mm,wind_speed_kmh,cloud_cover_pct,heat_index_celsius,heat_stress_category,above_fifa_threshold_32c,collected_at
83,2026-07-03,1,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,30,America/Los_Angeles,16.8,84,17.9,0.0,1.6,0,16.8,Low,0,2026-08-02T10:21:19.480965+00:00
84,2026-07-03,5,Toronto Stadium (BMO Field),Toronto,CAN,76,America/Toronto,25.7,74,28.9,0.0,6.4,6,25.7,Low,0,2026-08-02T10:21:22.086151+00:00
85,2026-07-03,9,Vancouver Stadium (BC Place),Vancouver,CAN,9,America/Vancouver,16.5,80,16.3,0.1,7.6,98,16.5,Low,0,2026-08-02T10:21:23.904612+00:00
86,2026-07-04,0,Dallas Stadium (AT&T Stadium),Arlington,USA,184,America/Chicago,31.1,49,33.0,0.0,10.1,2,32.59,High,1,2026-08-02T10:21:26.099725+00:00
87,2026-07-04,4,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,2,America/New_York,26.2,88,32.1,0.0,1.5,9,26.2,Low,0,2026-08-02T10:21:28.723918+00:00
88,2026-07-04,7,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,264,America/Chicago,21.1,94,23.1,0.0,12.7,37,21.1,Low,0,2026-08-02T10:21:31.890227+00:00
89,2026-07-04,21,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,3,America/New_York,30.4,55,31.7,1.1,18.8,98,32.58,High,1,2026-08-02T10:21:34.453923+00:00
90,2026-07-04,23,Houston Stadium (NRG Stadium),Houston,USA,14,America/Chicago,28.6,77,33.6,0.0,8.0,3,33.09,High,1,2026-08-02T10:21:36.222853+00:00
91,2026-07-05,20,Dallas Stadium (AT&T Stadium),Arlington,USA,184,America/Chicago,31.6,54,35.5,0.0,4.0,93,34.58,High,1,2026-08-02T10:21:40.672885+00:00
92,2026-07-06,1,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,2200,America/Mexico_City,14.6,93,15.6,0.0,1.2,100,14.6,Low,0,2026-08-02T10:21:46.165712+00:00
93,2026-07-06,19,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,2,America/New_York,26.1,91,32.2,0.3,1.9,97,26.1,Low,0,2026-08-02T10:21:47.917100+00:00
94,2026-07-07,0,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,8,America/Los_Angeles,14.1,86,13.5,0.0,7.3,100,14.1,Low,0,2026-08-02T10:21:50.191465+00:00
95,2026-07-07,16,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,264,America/Chicago,32.1,40,35.0,0.0,7.3,4,32.42,High,1,2026-08-02T10:21:52.946259+00:00
96,2026-07-07,20,Seattle Stadium (Lumen Field),Seattle,USA,3,America/Los_Angeles,21.0,57,19.5,0.0,14.6,99,21.0,Low,0,2026-08-02T10:21:54.794588+00:00
97,2026-07-09,20,Boston Stadium (Gillette Stadium),Foxborough,USA,87,America/New_York,25.6,82,28.7,0.0,13.0,95,25.6,Low,0,2026-08-02T10:21:59.394416+00:00
98,2026-07-10,19,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,30,America/Los_Angeles,23.9,59,24.5,0.0,7.6,5,23.9,Low,0,2026-08-02T10:22:01.254411+00:00
99,2026-07-11,21,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,2,America/New_York,29.3,72,34.4,0.0,5.2,65,33.81,High,1,2026-08-02T10:22:05.685789+00:00
100,2026-07-12,1,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,264,America/Chicago,23.2,79,25.7,0.0,6.7,0,23.2,Low,0,2026-08-02T10:22:11.551459+00:00
101,2026-07-14,20,Dallas Stadium (AT&T Stadium),Arlington,USA,184,America/Chicago,26.3,79,30.2,0.1,8.9,25,26.3,Low,0,2026-08-02T10:22:17.226932+00:00
102,2026-07-15,20,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,318,America/New_York,28.9,64,32.8,0.1,4.6,62,31.49,Moderate,0,2026-08-02T10:22:19.110823+00:00
103,2026-07-18,22,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,2,America/New_York,28.3,77,33.3,0.0,6.5,100,32.35,High,1,2026-08-02T10:22:23.948717+00:00
104,2026-07-19,20,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,7,America/New_York,23.9,46,23.5,0.0,6.4,0,23.9,Low,0,2026-08-02T10:22:25.751142+00:00
