match_id,utc_date,status,matchday,stage,group_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score_home_ft,score_away_ft,score_home_ht,score_away_ht,winner,duration,referee_name,referee_nationality,venue_name,venue_city,venue_country,venue_has_ac,venue_latitude,venue_longitude,venue_timezone,collected_at
537373,2026-06-27T00:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_H,758.0,Uruguay,URU,760.0,Spain,ESP,0.0,1.0,0.0,1.0,AWAY_TEAM,REGULAR,Ismail Elfath,United States,,,,,,,,2026-06-29T08:56:57.700876+00:00
537374,2026-06-27T00:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_H,1930.0,Cape Verde Islands,CPV,801.0,Saudi Arabia,KSA,0.0,0.0,0.0,0.0,DRAW,REGULAR,François Letexier,France,,,,,,,,2026-06-29T08:56:57.700882+00:00
537375,2026-07-04T21:00:00Z,TIMED,,LAST_16,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701089+00:00
537376,2026-07-04T17:00:00Z,TIMED,,LAST_16,,828.0,Canada,CAN,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701082+00:00
537377,2026-07-05T20:00:00Z,TIMED,,LAST_16,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701097+00:00
537378,2026-07-06T00:00:00Z,TIMED,,LAST_16,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701104+00:00
537379,2026-07-06T19:00:00Z,TIMED,,LAST_16,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701111+00:00
537380,2026-07-07T00:00:00Z,TIMED,,LAST_16,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701118+00:00
537381,2026-07-07T16:00:00Z,TIMED,,LAST_16,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701126+00:00
537382,2026-07-07T20:00:00Z,TIMED,,LAST_16,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701133+00:00
537383,2026-07-09T20:00:00Z,TIMED,,QUARTER_FINALS,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701140+00:00
537384,2026-07-10T19:00:00Z,TIMED,,QUARTER_FINALS,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701147+00:00
537385,2026-07-11T21:00:00Z,TIMED,,QUARTER_FINALS,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701154+00:00
537386,2026-07-12T01:00:00Z,TIMED,,QUARTER_FINALS,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701161+00:00
537387,2026-07-14T19:00:00Z,TIMED,,SEMI_FINALS,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701168+00:00
537388,2026-07-15T19:00:00Z,TIMED,,SEMI_FINALS,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701175+00:00
537389,2026-07-18T21:00:00Z,TIMED,,THIRD_PLACE,,,,,,,,,,,,,REGULAR,,,,,,,,,,2026-06-29T08:56:57.701183+00:00
